,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles,dm300_err,dm300_measured
22,57,69,92,73,89,89,89,4-Methoxyphenol,D3 ,150-76-5,124.0,COc1ccc(O)cc1,CO,Methanol,0.2065,0.0803,COc1ccc(O)cc1.CO,0.22101824468563022,0.4275182446856302
4,9,26,8,48,161,161,161,m-Cresol GPR RECTAPUR�,"CM23, Y1, Y10",108-39-4,108.0575149,CC1=CC(O)=CC=C1,CO,Methanol,0.7515,0.0726,CC1=CC(O)=CC=C1.CO,0.21287389376230126,0.5386261062376987
9,25,70,49,36,194,194,194,5-Bromoisatin,RSY5,87-48-9,226.03,C1=CC2=C(C=C1Br)C(=O)C(=O)N2,CO,Methanol,0.5185,0.042,C1=CC2=C(C=C1Br)C(=O)C(=O)N2.CO,0.20855610902335342,0.7270561090233534
24,2,41,16,75,339,339,340,,Z74,327-51-5,271.0,FC1=C(Br)C=C(F)C(Br)=C1,CO,Methanol,0.9292,0.0066,FC1=C(Br)C=C(F)C(Br)=C1.CO,0.20260748166935538,0.7265925183306446
16,48,56,50,59,193,193,193,"4-BROMOANILINE, 97%",Z133,106-40-1,172.0,C1=CC(=CC=C1N)Br,CO,Methanol,0.0826,0.0379,C1=CC(=CC=C1N)Br.CO,0.19284784518914028,0.2754478451891403
6,104,160,101,102,283,283,284,,Z73,122-95-2,166.0,CCOC1=CC=C(C=C1)OCC,CO,Methanol,0.4193,0.0192,CCOC1=CC=C(C=C1)OCC.CO,0.19127469562697563,0.6105746956269756
41,66,74,70,74,200,200,200,,Z22,626-05-1,235.0,BrC1=CC=CC(Br)=N1,CO,Methanol,0.1626,0.0173,BrC1=CC=CC(Br)=N1.CO,0.1887098313370851,0.3513098313370851
40,47,39,67,188,295,295,296,"1-NITRONAPHTHALENE, 99%",Z132,86-57-7,173.0,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],CO,Methanol,0.691,0.2065,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-].CO,0.18727393995953867,0.5037260600404613
36,26,38,48,112,78,78,78,p-Anisidine,CQ24,104-94-9,123.0684139,NC1=CC=C(OC)C=C1,CO,Methanol,0.5134,0.0404,NC1=CC=C(OC)C=C1.CO,0.186696414011858,0.326703585988142
47,33,24,55,138,195,195,195,5-Bromoisatin,RSY5,87-48-9,224.9425405,O=C1NC2=C(C=C(Br)C=C2)C1=O,CO,Methanol,0.9111,0.0017,O=C1NC2=C(C=C(Br)C=C2)C1=O.CO,0.18404389294373125,0.7270561070562688
21,14,46,85,132,0,0,0,"3,5-Diaminobenzoic Acid",Z1,535-87-5,152.15,O=C(O)C1=CC(N)=CC(N)=C1,CO,Methanol,0.6452,0.0316,O=C(O)C1=CC(N)=CC(N)=C1.CO,0.1828211670741139,0.8280211670741139
58,74,109,110,168,345,345,346,,Z62,6161-50-8,214.0,COC1=CC(C2=CC=CC(OC)=C2)=CC=C1,CO,Methanol,0.6134,0.0178,COC1=CC(C2=CC=CC(OC)=C2)=CC=C1.CO,0.18122297422157096,0.7946229742215709
8,19,52,26,31,330,330,331,5-Bromo-1-methyl-1H-indole,RSY40,10075-52-2,210.07,CN1C=CC2=C1C=CC(=C2)Br,CO,Methanol,0.444,0.0477,CN1C=CC2=C1C=CC(=C2)Br.CO,0.18011311594806895,0.624113115948069
64,110,189,141,186,321,321,322,,Z182,619-44-3,262.0,COC(=O)C1=CC=C(C=C1)I,CO,Methanol,0.466,0.0198,COC(=O)C1=CC=C(C=C1)I.CO,0.1798336678802726,0.6458336678802726
75,124,148,96,164,377,377,378,"1,3,5-Trichlorobenzene",Z161,108-70-3,181.0,C1=C(C=C(C=C1Cl)Cl)Cl,CO,Methanol,0.5873,0.0287,C1=C(C=C(C=C1Cl)Cl)Cl.CO,0.17952070951055066,0.4077792904894494
14,16,30,39,24,170,170,170,8-Aminoquinoline,D43,578-66-5,144.0,NC1=C2N=CC=CC2=CC=C1,CO,Methanol,0.3295,0.0167,NC1=C2N=CC=CC2=CC=C1.CO,0.17911618511109717,0.5086161851110972
71,267,203,240,249,27,27,27,"5-Amino-1,3-dihydro-2Hbenzimidazol- 2-one",RSY7,95-23-8,149.15,C1=CC2=C(C=C1N)NC(=O)N2,CO,Methanol,0.7756,0.016,C1=CC2=C(C=C1N)NC(=O)N2.CO,0.17375918353964714,0.6018408164603528
42,79,106,127,89,146,146,146,"2-NITROPHENOL, 98%",Z125,88-75-5,139.0,OC1=CC=CC=C1[N+]([O-])=O,CO,Methanol,0.2626,0.0465,OC1=CC=CC=C1[N+]([O-])=O.CO,0.1729141130572972,0.4355141130572972
17,41,57,56,140,279,279,280,ACRIDINE,D30,260-94-6,179.0,C12=NC3=CC=CC=C3C=C1C=CC=C2,CO,Methanol,0.8719,0.0267,C12=NC3=CC=CC=C3C=C1C=CC=C2.CO,0.17049733919260446,0.7014026608073956
48,63,82,180,189,287,287,288,"2-BROMO-N,N-DIMETHYLANILINE",D38,698-00-0,200.0,CN(C)C1=CC=CC=C1Br,CO,Methanol,0.8211,0.0425,CN(C)C1=CC=CC=C1Br.CO,0.16433471983111625,0.6567652801688838
55,161,141,163,113,217,217,218,2-Bromoacetophenone,CJ57,2142-69-0,197.9680269,O=C(C1=CC=CC=C1)CBr,CO,Methanol,0.4722,0.0131,O=C(C1=CC=CC=C1)CBr.CO,0.1627018982248945,0.6349018982248945
45,30,48,74,83,180,180,180,(R)-(_)-1-Indanol,CA170,697-64-3,134.0,C1CC2=CC=CC=C2C1O,CO,Methanol,0.579,0.0104,C1CC2=CC=CC=C2C1O.CO,0.16250371584007173,0.7415037158400717
66,82,123,103,118,319,319,320,4-Iodoanisole,Z137,696-62-8,234.0,COC1=CC=C(C=C1)I,CO,Methanol,0.1803,0.0222,COC1=CC=C(C=C1)I.CO,0.16236337727780012,0.3426633772778001
50,45,66,53,93,376,376,377,"1-Bromo-4-methoxy-2,5-dimethylbenzene",CA57,58106-25-5,213.9993271,CC1=C(OC)C=C(C)C(Br)=C1,CO,Methanol,0.9763,0.0052,CC1=C(OC)C=C(C)C(Br)=C1.CO,0.16075527935739453,0.8155447206426054
80,73,103,111,125,352,352,353,4-iodotoluene,Z134,624-31-7,218.0,CC1=CC=C(C=C1)I,CO,Methanol,0.2112,0.0232,CC1=CC=C(C=C1)I.CO,0.16003831806729107,0.3712383180672911
18,42,40,58,45,361,361,362,,Z72,624-38-4,329.0,IC1=CC=C(I)C=C1,CO,Methanol,0.5044,0.0306,IC1=CC=C(I)C=C1.CO,0.15873787308596765,0.3456621269140323
37,68,43,40,81,129,129,129,"3-NITROPHENOL, REAGENTPLUS, 99%",D22,554-84-7,139.0,Oc1cccc(c1)[N+]([O-])=O,CO,Methanol,0.5975,0.0294,Oc1cccc(c1)[N+]([O-])=O.CO,0.15821227908305086,0.4392877209169492
23,38,31,44,41,49,49,49,5-Hydroxyindole,RSY99,1953-54-4,133.15,C1=CC2=C(C=CN2)C=C1O,CO,Methanol,0.3834,0.0481,C1=CC2=C(C=CN2)C=C1O.CO,0.15787926271719493,0.541279262717195
51,1,55,52,26,23,23,23,Adenine,AP16,73-24-5,135.0,C1=NC2=NC=NC(=C2N1)N,CO,Methanol,0.3781,0.0106,C1=NC2=NC=NC(=C2N1)N.CO,0.1569228636398664,0.5350228636398664
73,70,76,115,159,135,135,135,,Z29,91-76-9,187.0,NC1=NC(N)=NC(C2=CC=CC=C2)=N1,CO,Methanol,0.6407,0.0912,NC1=NC(N)=NC(C2=CC=CC=C2)=N1.CO,0.15643520876132977,0.7971352087613298
128,95,112,183,131,73,73,73,,Z42,7226-23-5,128.0,O=C1N(C)CCCN1C,CO,Methanol,0.7594,0.0411,O=C1N(C)CCCN1C.CO,0.1552732109373023,0.6041267890626977
28,29,22,31,52,30,30,30,4-Fluorobenzoic acid,CC4,456-22-4,140.0,O=C(O)C1=CC=C(F)C=C1,CO,Methanol,0.8535,0.0269,O=C(O)C1=CC=C(F)C=C1.CO,0.15508096385398384,0.6984190361460162
53,36,64,75,157,277,277,278,2-Methylanisole,CJ7,578-58-5,122.0,COC1=CC=CC=C1C,CO,Methanol,0.6572,0.0103,COC1=CC=CC=C1C.CO,0.15205760758430298,0.505142392415697
10,24,54,36,95,152,152,152,"2,6-Lutidine",CC50,108-48-5,107.0,CC1=NC(C)=CC=C1,CO,Methanol,0.6969,0.0174,CC1=NC(C)=CC=C1.CO,0.1493652666694012,0.5475347333305988
46,137,88,108,99,138,138,138,Nicotine ,CB94,54-11-5,162.1156984,CN1C(CCC1)C2=CN=CC=C2,CO,Methanol,0.9802,0.0021,CN1C(CCC1)C2=CN=CC=C2.CO,0.1489431990954757,0.8312568009045243
43,40,58,147,108,25,25,25,"3-AMINOPHENOL, 98%",D7,591-27-5,109.0,Nc1cccc(O)c1,CO,Methanol,0.2809,0.0603,Nc1cccc(O)c1.CO,0.14871745440904682,0.4296174544090468
