,Unnamed: 0.35,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles,dm300_err
14,176,621,286,98,485,74,494,377,749,727,773,732,816,825,885,722,829,875,870,876,930,910,947,930,902,943,954,980,973,996,1010,1015,1025,1031,1047,1058,1074,320,320,4-Iodoanisole,Z137,696-62-8,234.0,COC1=CC=C(C=C1)I,CO,Methanol,0.13487682104048992,0.0222,COC1=CC=C(C=C1)I.CO,-0.24261826301439596
98,47,269,94,154,111,187,224,201,463,188,385,291,456,375,126,139,291,412,263,313,382,398,644,739,345,626,755,818,860,860,896,885,892,907,906,898,941,169,169,8-Aminoquinoline,D43,578-66-5,144.0,NC1=C2N=CC=CC2=CC=C1,CO,Methanol,0.3047671722156193,0.0662,NC1=C2N=CC=CC2=CC=C1.CO,-0.24029557187222803
15,8,6,6,38,62,31,50,30,29,35,4,62,29,36,24,43,30,21,39,89,47,71,43,106,69,82,80,98,139,114,204,168,145,225,224,242,191,33,33,4-NITROBENZOIC ACID,CD2,62-23-7,167.0,OC(=O)c1ccc(cc1)[N+]([O-])=O,CO,Methanol,0.6648914650356632,0.0032,OC(=O)c1ccc(cc1)[N+]([O-])=O.CO,-0.23779006329398214
35,31,25,29,61,0,85,117,78,0,39,23,32,64,70,104,205,251,386,373,204,333,269,432,330,244,388,384,430,319,381,197,257,271,194,288,239,308,807,807,"2,5-Dimethylphenol",CQ44,95-87-4,122.0,OC1=CC(C)=CC=C1C,CCO,Ethanol,0.41297784261846765,0.007559403,OC1=CC(C)=CC=C1C.CCO,-0.23623724841477536
16,26,13,11,16,54,45,61,36,44,57,28,77,56,104,109,96,89,122,124,106,77,101,113,107,114,100,109,55,106,116,157,152,176,143,167,161,188,1121,1121,2-Pheylphenol,CQ4,90-43-7,170.0731649,OC1=CC=CC=C1C2=CC=CC=C2,O=CN(C)C,Dimethyl formamide,0.6209756160767155,0.013341688,OC1=CC=CC=C1C2=CC=CC=C2.O=CN(C)C,-0.23574913882459794
37,43,68,62,65,47,90,105,74,82,103,108,104,161,78,106,188,197,297,137,115,244,210,417,262,134,204,192,209,229,285,261,277,301,226,294,309,381,201,201,"2,5 dimethyl anilin",CC46,95-78-3,121.0891494,NC1=CC(C)=CC=C1C,CO,Methanol,0.5333316938783055,0.0208,NC1=CC(C)=CC=C1C.CO,-0.2350122931276457
10,59,137,54,18,33,26,34,79,52,44,76,42,85,91,80,150,77,66,89,76,63,59,83,153,110,168,120,505,600,579,543,628,677,581,626,598,648,1125,1125,5-Bromoindole,RSY11,10075-50-0,196.04,C1=CC2=C(C=CN2)C=C1Br,O=CN(C)C,Dimethyl formamide,0.4274662017367633,0.017827886,C1=CC2=C(C=CN2)C=C1Br.O=CN(C)C,-0.23322888014886584
6,7,26,17,23,10,14,37,45,47,34,47,29,70,51,38,47,34,26,64,62,116,116,90,141,129,105,92,400,438,393,446,431,420,336,403,414,436,430,430,"4,4'-Diaminobenzophenone",Z67,611-98-3,212.0,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)N)N,CCOC(C)=O,Etyl acetate,0.5585847468800913,0.085338666,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)N)N.CCOC(C)=O,-0.23174467171088103
82,85,61,122,128,127,162,218,216,271,325,469,266,123,232,284,215,295,280,267,392,303,256,177,301,264,148,261,667,691,688,683,673,650,695,701,707,723,1005,1005,Oxolinic acid,RB41,14698-29-4,261.0637225,CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O,CC1CCCO1,2-Methly tetrahydrofurane,0.5011678931264696,0.062365256,CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O.CC1CCCO1,-0.23092485908089977
8,22,345,16,27,59,7,31,13,127,68,64,107,553,355,554,86,362,252,87,589,493,733,720,762,827,747,873,943,957,959,989,987,992,1021,1022,1033,1032,206,206,"4-NITROANISOLE, 97%",D21,100-17-4,153.0,COc1ccc(cc1)[N+]([O-])=O,CO,Methanol,0.21391833533257798,0.0972,COc1ccc(cc1)[N+]([O-])=O.CO,-0.2304606686412109
49,75,451,95,48,30,139,125,392,477,412,654,619,434,678,712,601,699,736,504,475,696,780,725,649,650,646,717,654,660,693,729,741,770,641,766,685,735,1153,1153,diphenylmethane,RSY17,101-81-5,168.23,C1=CC=C(C=C1)CC2=CC=CC=C2,O=CN(C)C,Dimethyl formamide,0.32723314183934105,0.017802866,C1=CC=C(C=C1)CC2=CC=CC=C2.O=CN(C)C,-0.22650423259683902
48,40,34,109,69,117,83,136,108,228,211,198,160,117,133,168,128,121,120,135,154,137,165,112,177,163,188,208,318,333,308,318,289,276,292,269,283,305,1019,1019,pyrimethanie (mebendazole),RB23,31431-39-7,295.0956913,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,CC1CCCO1,2-Methly tetrahydrofurane,0.6412235446262605,0.022447508,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3.CC1CCCO1,-0.2261104795783367
