smiles,acetone-dm300,mecn-dm300,meoh-dm300-20,dmf-dm300,ethanol-dm300,isopropanol-dm300,etoac-dm300,methf-dm300,mtbe-dm300,toluene-dm300,heptane-dm300
C1=CC=NC(=C1)N,0.15,0.14,0.10,,0.18,,-0.03,-0.03,-0.08,,
Nc1ccc2[nH]ccc2c1,0.77,0.67,0.32,,0.21,0.50,0.25,0.12,-0.41,-0.11,
C1=CC=C(C=C1)N,0.46,0.55,0.21,,,,0.07,,,,
C1=CC=C(C=C1)N,0.37,0.35,0.20,,,,,,,,
COC1=CC(CO)=CC=C1O,0.57,0.65,0.97,,,,,,,,
C1=CC(=C(C=C1[N+](=O)[O-])O)N,0.65,0.46,0.71,,,,,,,,-0.06
CC1=CC(NS(=O)(C2=CC=C(C=C2)N)=O)=NO1,0.96,1.00,1.00,0.99,,,,,,,
Nc1cccc2ncccc12,0.65,0.67,0.81,,,,0.19,,,,
CC[C@@H](C(=O)O)c1ccccc1,0.87,0.89,0.98,,,,,,,,
N#CC1=CC(F)=CC(F)=C1,0.67,0.84,0.66,,0.32,0.01,0.44,0.19,-0.01,0.15,-0.09
NC1=CC=C(Cl)C=C1,0.60,0.41,0.24,,,,,,,,
CN1C(C(NC2=CC=CC=N2)=O)=C(C3=C(S1(=O)=O)C=CS3)O,0.90,0.95,1.00,,,,,,,,
N#CC1=C(F)C(F)=C(C#N)C(F)=C1F,0.56,0.95,0.97,,,,0.53,,,,
N#CC1=CC(F)=CC(F)=C1,0.91,0.67,0.47,0.37,,,,,,,
FC(F)(F)C(C1=CC=C(C=C1)C(O)=O)(C2=CC=C(C=C2)C(O)=O)C(F)(F)F,0.99,1.00,1.00,,0.99,0.97,0.80,0.92,-0.03,,
OC1CCCC2=C1C=CC=C2,0.79,0.71,0.88,0.52,,,0.34,,,-0.06,-0.11
OC1=CC(C)=CC=C1C,0.74,0.50,0.49,,0.55,0.32,0.28,0.48,0.18,-0.17,-0.13
COC1=CC(OC)=CC(OC)=C1,0.89,0.91,0.76,,,,0.41,,,,-0.04
O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],0.75,0.80,0.76,,,,0.59,,,,
O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],0.87,0.97,0.74,0.81,0.55,0.18,0.46,0.34,0.06,,
COC1=CC=CC=C1C,0.77,0.76,0.66,,,,0.30,,,,-0.05
C#Cc1ccc(C)cc1,0.47,0.48,0.92,0.32,,,0.24,,,,
O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,0.84,0.80,0.73,,0.64,0.37,0.41,0.63,-0.07,,-0.11
COC1=CC(OC)=CC(Br)=C1,0.80,0.96,0.77,,,,,,,,
CC1=CC(O)=C(C(C)C)C=C1,0.95,0.86,0.94,,,,,,,,-0.16
FC(F)(F)C(C1=CC=C(O)C=C1)(C2=CC=C(O)C=C2)C(F)(F)F,0.99,0.97,0.99,1.00,,,,,,0.15,
C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)/C,0.99,0.99,1.00,1.00,1.00,0.99,,0.52,0.87,,
Cc1ccc(I)cc1,0.53,0.60,0.45,,,,0.21,,,,
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C,0.99,1.00,0.99,,,,0.85,,,,
COC1=CC(C2=CC=CC(OC)=C2)=CC=C1,0.91,0.91,0.61,,,,,,,,
CC1=CC=CC2=CC=CC=C12,0.70,0.67,0.61,,,,0.50,,,0.13,
CC1=CC=C(C=C1)I,0.39,0.37,0.21,,,,,,,,
CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,0.99,0.99,1.00,,0.98,0.89,,0.51,-0.15,,
c1ccc2c(c1)Cc1ccccc1-2,0.79,0.78,0.73,,0.50,0.15,,0.22,-0.10,0.15,-0.05
C(#Cc1ccccc1)c1ccccc1,0.77,0.70,0.80,0.58,0.61,0.28,0.64,0.31,0.12,0.28,0.00
O=C(C1=C(F)C(F)=C(F)C(F)=C1F)C2=C(F)C(F)=C(F)C(F)=C2F,0.99,0.99,1.00,,,0.81,,0.84,0.23,,0.01
C=Cc1ccc(C(C)(C)C)cc1,0.91,0.96,0.87,,0.83,0.52,,0.29,0.07,,
CC1=CC(Br)=C(Br)C=C1C,0.81,0.74,0.82,,0.74,0.48,,0.63,-0.08,0.65,-0.04
CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,0.99,0.92,1.00,0.98,0.98,0.84,0.57,0.53,-0.12,0.74,-0.06
CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2,0.96,0.98,0.99,0.88,0.97,0.83,0.59,0.81,-0.03,0.55,0.08
CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,0.98,0.99,1.00,0.98,0.95,0.75,,0.42,0.36,0.27,0.00
