,DOI,Year,Journal,Membrane,MWCO,Membrane type,Solute,Solute W conc,Solute M conc,Solvent,Solvent Mw,Solvent diameter,Solvent viscosity,Solvent molar volume,Density,H1,H2,H3,H4,Livingston parameter,Pressure,Flux,Permeance,measured_rejection,Unnamed: 24,solvent_smiles,Temperature,Process configuration,solute_smiles,full_smiles
0,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,27.61,0.28,O=CN(C)C,,CF,C=C(C1=CC=CC=C1)CC(C)(C)C2=CC=CC=C2,C=C(C1=CC=CC=C1)CC(C)(C)C2=CC=CC=C2.O=CN(C)C
1,10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,142.3,1.0,0.007027,IPA,60.1,0.624,1.96,76.46,0.786,15.8,6.1,16.4,23.58,7.98,20.0,,,36.3,0.36,CC(O)C,25.0,CF,CCCCCCCCCC,CCCCCCCCCC.CC(O)C
2,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,38.03,0.38,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C)(C)C3=CC=CC=C3,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C)(C)C3=CC=CC=C3.O=CN(C)C
3,10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,400.0,1.0,0.0025,EtOH,46.1,0.52,1.07,44.13,1.044,18.4,6.3,13.7,23.79,21.71,40.0,28.1,0.7,38.8,0.39,CCO,25.0,CF,O=C(OC)C(C)(CC(C)(CC(C)C(OC)=O)C(OC)=O)CC(C)(C(OC)=O)C,O=C(OC)C(C)(CC(C)(CC(C)C(OC)=O)C(OC)=O)CC(C)(C(OC)=O)C.CCO
4,10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,142.3,1.0,0.007027,IPA,60.1,0.624,1.96,76.46,0.786,15.8,6.1,16.4,23.58,7.98,30.0,,,41.6,0.42,CC(O)C,25.0,CF,CCCCCCCCCC,CCCCCCCCCC.CC(O)C
5,10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,400.0,1.0,0.0025,EtOH,46.1,0.52,1.07,44.13,1.044,18.4,6.3,13.7,23.79,21.71,20.0,14.0,0.7,44.5,0.45,CCO,25.0,CF,O=C(OC)C(C)(CC(C)(CC(C)C(OC)=O)C(OC)=O)CC(C)(C(OC)=O)C,O=C(OC)C(C)(CC(C)(CC(C)C(OC)=O)C(OC)=O)CC(C)(C(OC)=O)C.CCO
6,10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,170.3,1.0,0.005872,IPA,60.1,0.624,1.96,76.46,0.786,15.8,6.1,16.4,23.58,7.98,20.0,,,46.8,0.47,CC(O)C,25.0,CF,CCCCCCCCCCCC,CCCCCCCCCCCC.CC(O)C
7,10.1016/j.memsci.2017.05.003,2017,Journal of Membrane Science,DM300,300,,408.0,14.3,0.035049,MeCN,41.1,0.55,0.37,52.23,0.786,15.3,18.0,6.1,24.4,160.91,40.0,131.1,3.28,47.7,0.48,CC#N,25.0,DE,[Cl-].CN(C)C1=CC=C(C=C1)[C+](C1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,[Cl-].CN(C)C1=CC=C(C=C1)[C+](C1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C.CC#N
8,10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,170.3,1.0,0.005872,IPA,60.1,0.624,1.96,76.46,0.786,15.8,6.1,16.4,23.58,7.98,30.0,,,48.0,0.48,CC(O)C,25.0,CF,CCCCCCCCCCCC,CCCCCCCCCCCC.CC(O)C
9,10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,198.4,1.0,0.00504,IPA,60.1,0.624,1.96,76.46,0.786,15.8,6.1,16.4,23.58,7.98,30.0,,,50.6,0.51,CC(O)C,25.0,CF,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC.CC(O)C
