,Unnamed: 0,name,container,cas,mw,solute_smiles,solvent_smiles,dm300,dm300_error,full_smiles
0,0,"3-NITROPHENOL, REAGENTPLUS, 99%",Z127,554-84-7,139.0,OC1=CC=CC([N+]([O-])=O)=C1,CO,0.387,0.0293,OC1=CC=CC([N+]([O-])=O)=C1.CO
1,1,4-aminobenzonitrile,Z140,873-74-5,118.0,N#CC1=CC=C(N)C=C1,CO,0.3825,0.0275,N#CC1=CC=C(N)C=C1.CO
2,2,"2-AMINOPHENOL, 98%",D26,95-55-6,109.0,OC1=CC=CC=C1N,CO,0.4164,0.0284,OC1=CC=CC=C1N.CO
3,3,"2,5-Dimethylphenol",CQ44,95-87-4,122.0,OC1=CC(C)=CC=C1C,CO,0.4891,0.0368,OC1=CC(C)=CC=C1C.CO
4,4,"4-BROMOANILINE, 97%",CC3,106-40-1,170.0,Nc1ccc(Br)cc1,CO,0.3398,0.0598,Nc1ccc(Br)cc1.CO
5,5,1-chloro-2-nitrobenzene,Z126,88-73-3,157.0,C1=CC=C(C(=C1)[N+](=O)[O-])Cl,CO,0.9149,0.0215,C1=CC=C(C(=C1)[N+](=O)[O-])Cl.CO
6,6,"1-CHLORO-4-NITROBENZENE, 99%",D20,100-00-5,157.0,[O-][N+](=O)c1ccc(Cl)cc1,CO,0.3473,0.1145,[O-][N+](=O)c1ccc(Cl)cc1.CO
7,7,4-nitrobenzonitrile,Z129,619-72-7,148.0,N#CC1=CC=C([N+]([O-])=O)C=C1,CO,0.894,0.0221,N#CC1=CC=C([N+]([O-])=O)C=C1.CO
8,8,2-phenylbutanoic acid,CK 18,90-27-7,164.0,CCC(C1=CC=CC=C1)C(=O)O,CO,0.6279,0.0217,CCC(C1=CC=CC=C1)C(=O)O.CO
9,9,"1-CHLORO-4-NITROBENZENE, 99%",Z128,100-00-5,157.0,O=[N+](C1=CC=C(Cl)C=C1)[O-],CO,0.3506,0.012,O=[N+](C1=CC=C(Cl)C=C1)[O-].CO
10,10,m-Cresol GPR RECTAPUR�,YELLOW CABINET,108-39-4,108.0,CC1=CC(O)=CC=C1,CO,1.0,0.0,CC1=CC(O)=CC=C1.CO
11,11,"3-AMINOPHENOL, 98%",D7,591-27-5,109.0,Nc1cccc(O)c1,CO,0.4658,0.0221,Nc1cccc(O)c1.CO
12,12,4-nitrophenol,Z130,100-02-7,139.0,OC1=CC=C([N+]([O-])=O)C=C1,CO,0.4229,0.0359,OC1=CC=C([N+]([O-])=O)C=C1.CO
13,13,,Z36,7226-23-5,128.0,O=C1N(C)CCCN1C,CO,0.5232,0.0295,O=C1N(C)CCCN1C.CO
14,14,4-Hydroxyindole,RSY94,2380-94-1,133.15,C1=CC2=C(C=CN2)C(=C1)O,CO,0.5323,0.0293,C1=CC2=C(C=CN2)C(=C1)O.CO
15,15,4-Ethynyltoluene,CA104,766-97-2,116.16,C#Cc1ccc(C)cc1,CO,0.9234,0.0192,C#Cc1ccc(C)cc1.CO
16,16,1-iodo-4-nitrobenzene,Z136,636-98-6,249.0,O=[N+](C1=CC=C(I)C=C1)[O-],CO,0.2366,0.0542,O=[N+](C1=CC=C(I)C=C1)[O-].CO
17,17,,Z49,14348-75-5,336.0,O=C1C2=C(C3=C1C=C(Br)C=C3)C=CC(Br)=C2,CO,0.497,0.1022,O=C1C2=C(C3=C1C=C(Br)C=C3)C=CC(Br)=C2.CO
18,18,,Z189,51934-41-9,276.0,CCOC(=O)C1=CC=C(C=C1)I,CO,0.3708,0.0207,CCOC(=O)C1=CC=C(C=C1)I.CO
19,19,Nicotinamide,AP27,98-92-0,122.0,C1=CC(=CN=C1)C(=O)N,CO,0.5022,0.0246,C1=CC(=CN=C1)C(=O)N.CO
20,20,4-iodotoluene,Z134,624-31-7,218.0,CC1=CC=C(C=C1)I,CO,0.2511,0.071,CC1=CC=C(C=C1)I.CO
21,21,"1,5-Diaminonaphthalene",CK5,2243-62-1,158.0,C1=CC2=C(C=CC=C2N)C(=C1)N,CO,0.591,0.0107,C1=CC2=C(C=CC=C2N)C(=C1)N.CO
22,22,,Z62,6161-50-8,214.0,COC1=CC(C2=CC=CC(OC)=C2)=CC=C1,CO,0.6134,0.0178,COC1=CC(C2=CC=CC(OC)=C2)=CC=C1.CO
23,23,"1-Bromo-4-methoxy-2,5-dimethylbenzene",CA57,58106-25-5,213.9993271,CC1=C(OC)C=C(C)C(Br)=C1,CO,0.9763,0.0052,CC1=C(OC)C=C(C)C(Br)=C1.CO
24,24,"2-METHOXY-5-NITROANILINE, 98%",CA2,99-59-2,168.0,COc1ccc(cc1N)[N+]([O-])=O,CO,0.5166,0.0442,COc1ccc(cc1N)[N+]([O-])=O.CO
25,25,"2,4,6-TRICHLOROPHENOL, 98%",CC5,88-06-2,195.0,Oc1c(Cl)cc(Cl)cc1Cl,CO,0.5751,0.107,Oc1c(Cl)cc(Cl)cc1Cl.CO
26,26,,Z178,69113-59-3,229.0,C1=CC(=CC(=C1)I)C#N,CO,0.2763,0.0165,C1=CC(=CC(=C1)I)C#N.CO
27,27,N-Methylformanilide,CK44,93-61-8,135.16,CN(C=O)C1=CC=CC=C1,CO,0.4794,0.0203,CN(C=O)C1=CC=CC=C1.CO
