name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error
"3,5-Diaminobenzoic Acid",Z1,535-87-5,152.15,O=C(O)C1=CC(N)=CC(N)=C1,CO,Methanol,0.6452,0.0316
4-Aminobenzoic acid,D2,150-13-0,137,Nc1ccc(cc1)C(O)=O,CO,Methanol,0.8522,0.0125
"4,6-diaminoresorcinol dihydrochloride",RA15,16523-31-2,212.01,OC1=C(N)C=C(N)C(O)=C1,CO,Methanol,0.3576,0.1519
Cytosine,AP17,71-30-7,111,C1=C(NC(=O)N=C1)N,CO,Methanol,0.6643,0.0357
"4-AMINOPYRIDINE, 98%",D6,504-24-5,94,Nc1ccncc1,CO,Methanol,0.1865,0.0154
nicotinic acid,AP20,59-67-6,123.03,O=C(O)C1=CN=CC=C1,CO,Methanol,0.3919,0.2292
nicotinic acid,AP20,59-67-6,123.03,O=C(O)C1=CN=CC=C1,CO,Methanol,0.2611,0.0089
"2,5-Diaminopyridine","CC78, S85",4318-76-7,109.0639972,NC1=CN=C(N)C=C1,CO,Methanol,0.8066,0.0344
Metformin Hydrochloride,"AP58, RB33",1115-70-4,165.0781231,CN(C)C(=N)N=C(N)N,CO,Methanol,0.8473,0.0796
Hexamethylenetetramine,CF24,100-97-0,140.19,C1N2CN3CN1CN(C2)C3,CO,Methanol,0.9688,0.0091
Phloroglucinol,I4,108-73-6,126.11,Oc1cc(O)cc(O)c1,CO,Methanol,0.8893,0.0075
Mandelic acid,CR18,90-64-2,152,OC(C(O)=O)C1=CC=CC=C1,CO,Methanol,0.9874,0.0011
Mandelic acid,CR18,90-64-2,152,OC(C(O)=O)C1=CC=CC=C1,CO,Methanol,0.9999,0
"4-AMINOPHENOL, 98%",D25,123-30-8,109,OC1=CC=C(N)C=C1,CO,Methanol,0.111,0.0742
Histamine,CB45,51-45-6,111,C1=C(NC=N1)CCN,CO,Methanol,0.5592,0.0322
"1H-Pyrrolo[2,3-b]pyridine-3-carboxylic acid",Z111,156270-06-3,162,C1=CC2=C(NC=C2C(=O)O)N=C1,CO,Methanol,0.848,0.0347
2-amino-4-methyl-1H-pyrimidin-6-one,Z101,3977-29-5,125,CC1=CC(=O)NC(=N1)N,CO,Methanol,0.6997,0.0093
4-AMINO-3-NITROBENZOIC ACID,Z148,1588-83-6,182,C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])N,CO,Methanol,0.7007,0.0302
2-Pyrrolidinone,CM29,616-45-5,85.1,C1CC(=O)NC1,CO,Methanol,-0.1091,0.5916
2-Aminobenzylamine,D40,4403-69-4,122,NCC1=CC=CC=C1N,CO,Methanol,0.9551,0.0022
"2,6-Diaminopyridine",Z7,141-86-6,109,NC1=CC=CC(N)=N1,CO,Methanol,0.7112,0.0436
,Z168,445-29-4,140,C1=CC=C(C(=C1)C(=O)O)F,CO,Methanol,0.6525,0.1069
"3,5-DIHYDROXYBENZYL ALCOHOL, 99%",D12,29654-55-5,140,OCc1cc(O)cc(O)c1,CO,Methanol,0.7838,0.0122
Adenine,AP16,73-24-5,135,C1=NC2=NC=NC(=C2N1)N,CO,Methanol,0.3781,0.0106
Benzoic acid,CL18,65-85-0,122.12,O=C(O)c1ccccc1,CO,Methanol,0.7186,0.0018
"3-AMINOPHENOL, 98%",D7,591-27-5,109,Nc1cccc(O)c1,CO,Methanol,0.2809,0.0603
"3-AMINOPHENOL, 98%",D7,591-27-5,109,Nc1cccc(O)c1,CO,Methanol,0.4658,0.0221
"5-Amino-1,3-dihydro-2Hbenzimidazol- 2-one",RSY7,95-23-8,149.15,C1=CC2=C(C=C1N)NC(=O)N2,CO,Methanol,0.7756,0.016
Anthranilic acid ,CR1,118-92-3,137.0476785,NC1=CC=CC=C1C(O)=O,CO,Methanol,0.7497,0.0388
Nicotinamide,AP27,98-92-0,122,C1=CC(=CN=C1)C(=O)N,CO,Methanol,0.5022,0.0246
4-Fluorobenzoic acid,CC4,456-22-4,140,O=C(O)C1=CC=C(F)C=C1,CO,Methanol,0.8535,0.0269
