,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles
0,8-Aminoquinoline,D43,578-66-5,144.0,NC1=C2N=CC=CC2=CC=C1,CO,Methanol,0.4531,0.0662,NC1=C2N=CC=CC2=CC=C1.CO
1,"2,6-Diacetylpyridine",Z31,1129-30-2,163.0,CC(=O)C1=NC(=CC=C1)C(=O)C,CO,Methanol,0.9012,0.0234,CC(=O)C1=NC(=CC=C1)C(=O)C.CO
2,,Z8,5779-95-3,134.0,O=CC1=CC(C)=CC(C)=C1,CO,Methanol,0.7832,0.0388,O=CC1=CC(C)=CC(C)=C1.CO
3,Phthalimide,D34,85-41-6,147.0,O=C(N1)C2=CC=CC=C2C1=O,CO,Methanol,0.6412,0.0312,O=C(N1)C2=CC=CC=C2C1=O.CO
4,"3,5-Diaminobenzoic Acid",Z1,535-87-5,152.15,O=C(O)C1=CC(N)=CC(N)=C1,CO,Methanol,0.6452,0.0316,O=C(O)C1=CC(N)=CC(N)=C1.CO
5,"1,4-Dibromo-2,5-difluorobenzene",Z74,327-51-5,272.0,FC1=C(Br)C=C(F)C(Br)=C1,CO,Methanol,0.9464,0.0138,FC1=C(Br)C=C(F)C(Br)=C1.CO
6,"1,4-Dimethoxybenzene",,150-78-7,138.0680796,COC1=CC=C(OC)C=C1,CO,Methanol,0.3543,0.0192,COC1=CC=C(OC)C=C1.CO
7,,Z62,6161-50-8,214.0,COC1=CC(C2=CC=CC(OC)=C2)=CC=C1,CO,Methanol,0.6668,0.1051,COC1=CC(C2=CC=CC(OC)=C2)=CC=C1.CO
8,"3,4-Dichloroaniline",CB90,95-76-1,160.9799045,NC1=CC=C(Cl)C(Cl)=C1,CO,Methanol,0.2997,0.1004,NC1=CC=C(Cl)C(Cl)=C1.CO
9,(R)-(?)-1-Indanol,CA170,697-64-3,134.0,C1CC2=CC=CC=C2C1O,CO,Methanol,0.579,0.0104,C1CC2=CC=CC=C2C1O.CO
10,"3-AMINOPHENOL, 98%",D7,591-27-5,109.0,Nc1cccc(O)c1,CO,Methanol,0.2809,0.0603,Nc1cccc(O)c1.CO
11,(R)-(?)-2-Phenylbutyric acid,CA154,938-79-4,164.2,CC[C@@H](C(=O)O)c1ccccc1,CO,Methanol,0.9782,0.0004,CC[C@@H](C(=O)O)c1ccccc1.CO
12,(+)-Quinidine,CA108,56-54-2,324.42,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CO,Methanol,0.9994,0.0004,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.CO
13,Terephthalaldehyde,S53,623-27-8,134.0367794,O=CC1=CC=C(C=O)C=C1,CO,Methanol,0.5979,0.0111,O=CC1=CC=C(C=O)C=C1.CO
14,2-Amino-5-bromobenzoic acid,RB54,5794-88-7,216.03,C1=CC(=C(C=C1Br)C(=O)O)N,CO,Methanol,0.9018,0.0313,C1=CC(=C(C=C1Br)C(=O)O)N.CO
15,,Z74,327-51-5,271.0,FC1=C(Br)C=C(F)C(Br)=C1,CO,Methanol,0.9292,0.0066,FC1=C(Br)C=C(F)C(Br)=C1.CO
16,,Z15,623-26-7,256.0,N#CC1=CC=C(C#N)C=C1,CO,Methanol,0.3099,0.0169,N#CC1=CC=C(C#N)C=C1.CO
17,Phloroglucinol,I4,108-73-6,126.11,Oc1cc(O)cc(O)c1,CO,Methanol,0.8893,0.0075,Oc1cc(O)cc(O)c1.CO
18,"2,5-Dimethylphenol",,95-87-4,122.0731649,OC1=CC(C)=CC=C1C,CO,Methanol,0.7269,0.0087,OC1=CC(C)=CC=C1C.CO
19,2-Bromoacetophenone,,2142-69-0,197.9680269,O=C(C1=CC=CC=C1)CBr,CO,Methanol,0.4722,0.0131,O=C(C1=CC=CC=C1)CBr.CO
20,"1,3,5-tri(propan-2-yl)benzene",Z81,717-74-8,204.0,CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,CO,Methanol,0.9495,0.0242,CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C.CO
21,5-Bromoisatin,,87-48-9,224.9425405,O=C1NC2=C(C=C(Br)C=C2)C1=O,CO,Methanol,0.9111,0.0017,O=C1NC2=C(C=C(Br)C=C2)C1=O.CO
22,Fluorene,CB78,86-73-7,166.22,c1ccc2c(c1)Cc1ccccc1-2,CO,Methanol,0.7294,0.0074,c1ccc2c(c1)Cc1ccccc1-2.CO
23,,Z42,7226-23-5,128.0,O=C1N(C)CCCN1C,CO,Methanol,0.7594,0.0411,O=C1N(C)CCCN1C.CO
24,2-Cyclohexenone,Z177,930-68-7,96.0,C1CC=CC(=O)C1,CO,Methanol,0.4067,0.0207,C1CC=CC(=O)C1.CO
25,,Z187,822-67-3,98.0,C1CC=CC(C1)O,CO,Methanol,0.2457,0.013,C1CC=CC(C1)O.CO
26,6-Chloroindole,RSY12,17422-33-2,151.59,C1=CC(=CC2=C1C=CN2)Cl,CO,Methanol,0.3919,0.0555,C1=CC(=CC2=C1C=CN2)Cl.CO
27,Di-p-tolylamine,D27,620-93-9,197.0,CC1=CC=C(NC2=CC=C(C)C=C2)C=C1,CO,Methanol,0.7659,0.047,CC1=CC=C(NC2=CC=C(C)C=C2)C=C1.CO
28,"2,5-Dibromofuran",,32460-00-7,223.8472389,BrC1=CC=C(Br)O1,CO,Methanol,0.2301,0.0567,BrC1=CC=C(Br)O1.CO
29,2-Acetonaphthone,,93-08-3,170.0731649,CC(C1=CC=C2C=CC=CC2=C1)=O,CO,Methanol,0.657,0.0837,CC(C1=CC=C2C=CC=CC2=C1)=O.CO
30,"2,3,5,6-Tetrafluoro-1,4-benzenedimethanol",Z85,92339-07-6,210.0,C(C1=C(C(=C(C(=C1F)F)CO)F)F)O,CO,Methanol,0.8138,0.0392,C(C1=C(C(=C(C(=C1F)F)CO)F)F)O.CO
31,4-iodotoluene,Z134,624-31-7,218.0,CC1=CC=C(C=C1)I,CO,Methanol,0.2112,0.0232,CC1=CC=C(C=C1)I.CO
32,"3,4,5-TRIMETHYLPHENOL, 97%",CA5,527-54-8,137.0,Cc1cc(O)cc(C)c1C,CO,Methanol,0.9166,0.0069,Cc1cc(O)cc(C)c1C.CO
33,"2,3-Diaminonaphthalene",CC2,771-97-1,158.0,NC1=CC=CC2=C(N)C=CC=C12,CO,Methanol,0.963,0.0014,NC1=CC=CC2=C(N)C=CC=C12.CO
34,,Z165,24596-19-8,200.0,CC1=CC(=CC(=C1N)C)Br,CO,Methanol,0.576,0.0172,CC1=CC(=CC(=C1N)C)Br.CO
35,"4,4'-Dimethyl-2,2'-bipyridyl",Z5,1134-35-6,184.0,CC1=CC(C2=NC=CC(C)=C2)=NC=C1,CO,Methanol,0.9444,0.0123,CC1=CC(C2=NC=CC(C)=C2)=NC=C1.CO
36,4-bromophenol,Z135,106-41-2,173.0,C1=CC(=CC=C1O)Br,CO,Methanol,0.4809,0.0136,C1=CC(=CC=C1O)Br.CO
37,1-BUTYL-2-PYRROLIDONE (tamisolve),CO25,3470-98-2,141.21,CCCCN1CCCC1=O,CO,Methanol,0.837,0.0048,CCCCN1CCCC1=O.CO
38,5-Bromo-1-methyl-1H-indole,RSY40,10075-52-2,210.07,CN1C=CC2=C1C=CC(=C2)Br,CO,Methanol,0.444,0.0477,CN1C=CC2=C1C=CC(=C2)Br.CO
39,Phenylacetylene,RB13,536-74-3,102.13,C#Cc1ccccc1,CO,Methanol,0.1112,0.0351,C#Cc1ccccc1.CO
40,Thymol,,89-83-8,150.1044651,CC1=CC(O)=C(C(C)C)C=C1,CO,Methanol,0.9426,0.0046,CC1=CC(O)=C(C(C)C)C=C1.CO
41,,Z170,95-63-6,120.0,CC1=CC(=C(C=C1)C)C,CO,Methanol,0.5659,0.0412,CC1=CC(=C(C=C1)C)C.CO
42,Quinaldic acid,,100-21-0,166.0266087,O=C(O)C1=CC=C(C(O)=O)C=C1,CO,Methanol,0.9425,0.011,O=C(O)C1=CC=C(C(O)=O)C=C1.CO
43,2-Methyl-3-nitroaniline,,603-83-8,152.06,NC1=CC=CC([N+]([O-])=O)=C1C,CO,Methanol,0.6482,0.0335,NC1=CC=CC([N+]([O-])=O)=C1C.CO
44,"1,8-DICHLOROANTHRAQUINONE, 97%",CE6,82-43-9,276.0,Clc1cccc2C(=O)c3cccc(Cl)c3C(=O)c12,CO,Methanol,0.9373,0.0011,Clc1cccc2C(=O)c3cccc(Cl)c3C(=O)c12.CO
45,Clothianidin,AP41,210880-92-5,249.0087232,CNC(=N[N+](=O)[O-])NCC1=CN=C(S1)Cl,CO,Methanol,0.9617,0.0067,CNC(=N[N+](=O)[O-])NCC1=CN=C(S1)Cl.CO
46,Mometasone Furoate,AP11,83919-23-7,520.141944,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C,CO,Methanol,0.9876,0.007,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C.CO
47,2-chloroaniline,Z169,95-51-2,127.6,C1=CC=C(C(=C1)N)Cl,CO,Methanol,0.1985,0.0166,C1=CC=C(C(=C1)N)Cl.CO
48,trans-4-Cyclohexyl-L-proline hydrochloride,D44,90657-55-9,233.0,O=C(O)[C@H]1NC[C@H](C2CCCCC2)C1,CO,Methanol,0.9415,0.0947,O=C(O)[C@H]1NC[C@H](C2CCCCC2)C1.CO
49,"(1R,2S)-(-)-N-Methylephedrine",AP4,552-79-4,179.1310142,CC(C(C1=CC=CC=C1)O)N(C)C,CO,Methanol,0.9983,0.0002,CC(C(C1=CC=CC=C1)O)N(C)C.CO
50,"4-amino-3,5-xylenol",,3096-70-6,137.084064,CC1=CC(O)=CC(C)=C1N,CO,Methanol,0.6344,0.1194,CC1=CC(O)=CC(C)=C1N.CO
51,,Z174,327-92-4,204.0,C1=C(C(=CC(=C1[N+](=O)[O-])F)F)[N+](=O)[O-],CO,Methanol,0.5337,0.0157,C1=C(C(=CC(=C1[N+](=O)[O-])F)F)[N+](=O)[O-].CO
52,,Z72,624-38-4,329.0,IC1=CC=C(I)C=C1,CO,Methanol,0.6,0.0198,IC1=CC=C(I)C=C1.CO
53,"2,5-Dimethylphenol",CQ44,95-87-4,122.0,OC1=CC(C)=CC=C1C,CO,Methanol,0.4633,0.0256,OC1=CC(C)=CC=C1C.CO
54,TARTRAZINE,"fridge top, large acros bottle",1934-21-0,534.36,O=C1N(C2=CC=C(S(=O)(O)=O)C=C2)N=C(C(O)=O)C1N=NC3=CC=C(S(=O)(O)=O)C=C3,CO,Methanol,1.0,0.0,O=C1N(C2=CC=C(S(=O)(O)=O)C=C2)N=C(C(O)=O)C1N=NC3=CC=C(S(=O)(O)=O)C=C3.CO
55,"1,4-dibromo-2,5-dimethoxybenzene",,2674-34-2,293.8891037,COC1=C(Br)C=C(OC)C(Br)=C1,CO,Methanol,0.8963,0.0076,COC1=C(Br)C=C(OC)C(Br)=C1.CO
56,?-Caryophyllene,AP59,87-44-5,204.35,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,CO,Methanol,1.0,0.0,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C.CO
57,Prednisolone,CA160,50-24-8,360.44,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,CO,Methanol,0.9204,0.033,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO.CO
58,4-Iodoanisole,CC26,696-62-8,234.03,COc1ccc(I)cc1,CO,Methanol,0.0841,0.2947,COc1ccc(I)cc1.CO
59,,Z16,92-44-4,160.0,OC1=C(O)C=C2C=CC=CC2=C1,CO,Methanol,0.8972,0.0086,OC1=C(O)C=C2C=CC=CC2=C1.CO
60,N-Phenylmaleimide,D41,941-69-5,173.0,O=C(N1C2=CC=CC=C2)C=CC1=O,CO,Methanol,0.5874,0.0526,O=C(N1C2=CC=CC=C2)C=CC1=O.CO
61,"1-CHLORO-4-NITROBENZENE, 99%",Z128,100-00-5,157.0,O=[N+](C1=CC=C(Cl)C=C1)[O-],CO,Methanol,0.3506,0.012,O=[N+](C1=CC=C(Cl)C=C1)[O-].CO
62,1-Methylnaphthalene,CC25,90-12-0,142.0,CC1=CC=CC2=CC=CC=C12,CO,Methanol,0.6144,0.0073,CC1=CC=CC2=CC=CC=C12.CO
63,Menadione,AP28,58-27-5,172.0,O=C(C(C)=C1)C(C=CC=C2)=C2C1=O,CO,Methanol,0.6691,0.0107,O=C(C(C)=C1)C(C=CC=C2)=C2C1=O.CO
64,"1-NITRONAPHTHALENE, 99%",Z132,86-57-7,173.0,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],CO,Methanol,0.691,0.2065,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-].CO
65,"1-CHLORO-4-NITROBENZENE, 99%",D20,100-00-5,157.0,[O-][N+](=O)c1ccc(Cl)cc1,CO,Methanol,0.3473,0.1145,[O-][N+](=O)c1ccc(Cl)cc1.CO
66,"2,2,2-Trimethylpropionanilide",D36,61495-04-3,191.0,O=C(NC1=C(C)C=CC=C1)C(C)(C)C,CO,Methanol,0.9939,0.0011,O=C(NC1=C(C)C=CC=C1)C(C)(C)C.CO
67,"4,4'-Bipyridine",,553-26-4,156.0687483,C1(C2=CC=NC=C2)=CC=NC=C1,CO,Methanol,0.7777,0.005,C1(C2=CC=NC=C2)=CC=NC=C1.CO
68,"3,4-Dichloroaniline",CB90,95-76-1,160.98,NC1=CC=C(Cl)C(Cl)=C1,CO,Methanol,0.5644,0.0311,NC1=CC=C(Cl)C(Cl)=C1.CO
69,"1-Bromo-3,5-dimethoxybenzene",Z55,20469-65-2,217.0,COC1=CC(OC)=CC(Br)=C1,CO,Methanol,0.7756,0.0309,COC1=CC(OC)=CC(Br)=C1.CO
70,BIOTIN,CD1,58-85-5,244.0,OC(=O)CCCCC1SCC2NC(=O)NC12,CO,Methanol,0.9163,0.0357,OC(=O)CCCCC1SCC2NC(=O)NC12.CO
71,2-Aminopyridine,CP27,504-29-0,94.0,C1=CC=NC(=C1)N,CO,Methanol,0.103,0.0698,C1=CC=NC(=C1)N.CO
72,4-aminobenzonitrile,Z140,873-74-5,118.0,N#CC1=CC=C(N)C=C1,CO,Methanol,0.314,0.0579,N#CC1=CC=C(N)C=C1.CO
73,4-Acetoamidophenol,,103-90-2,151.0633285,OC1=CC=C(NC(C)=O)C=C1,CO,Methanol,0.8367,0.0065,OC1=CC=C(NC(C)=O)C=C1.CO
74,"BROMOBENZENE, REAGENTPLUS, 99%",D15,108-86-1,156.0,Brc1ccccc1,CO,Methanol,0.1366,0.0509,Brc1ccccc1.CO
75,4-Aminobenzonitrile,,873-74-5,118.0530982,N#CC1=CC=C(N)C=C1,CO,Methanol,0.3161,0.0233,N#CC1=CC=C(N)C=C1.CO
76,4-Iodotoluene,CB87,624-31-7,218.03,Cc1ccc(I)cc1,CO,Methanol,0.4509,0.0949,Cc1ccc(I)cc1.CO
77,Anthranilic acid ,,118-92-3,137.0476785,NC1=CC=CC=C1C(O)=O,CO,Methanol,0.7497,0.0388,NC1=CC=CC=C1C(O)=O.CO
78,(R)-(?)-?-Methylcyclohexanemethylamine,D35,5913-13-3,127.0,N[C@H](C)C1CCCCC1,CO,Methanol,0.984,0.0086,N[C@H](C)C1CCCCC1.CO
79,"3,4-Dimethoxyaniline",,6315-89-5,153.0789786,NC1=CC=C(OC)C(OC)=C1,CO,Methanol,0.728,0.021,NC1=CC=C(OC)C(OC)=C1.CO
80,"1,2,3,4-Tetrahydro-1-naphthol",CB115,529-33-9,148.088815,OC1CCCC2=C1C=CC=C2,CO,Methanol,0.8781,0.0036,OC1CCCC2=C1C=CC=C2.CO
81,"1-Bromo-3,5-dimethoxybenzene",Z55,20469-65-2,217.0,COC1=CC(OC)=CC(Br)=C1,CO,Methanol,0.7704,0.0056,COC1=CC(OC)=CC(Br)=C1.CO
82,3-Bromo-9H-carbazole,RSY15,1592-95-6,246.1,C1=CC=C2C(=C1)C3=C(N2)C=CC(=C3)Br,CO,Methanol,0.6997,0.0271,C1=CC=C2C(=C1)C3=C(N2)C=CC(=C3)Br.CO
